Cloud Cover,Date time,Dew Point,Relative Humidity,Precipitation Cover,Temperature,Visibility,Conditions
75,04/23/2017,19.2,63.12,0,26.8,4,Partially cloudy
80,04/24/2017,18.2,69.19,0,24.2,4,Overcast
30,04/25/2017,18.1,58.53,0,27,4,Partially cloudy
30,04/26/2017,19.6,64.52,0,26.9,4,Partially cloudy
90,04/27/2017,19.2,64.05,0,26.5,4,Overcast
40,04/28/2017,19,62.9,0,26.7,4,Partially cloudy
65,04/29/2017,18,61.95,0,25.9,4,Partially cloudy
80,04/30/2017,19.4,76.86,100,23.7,4,"Rain, Overcast"
30,05-01-2017,16.1,63.38,0,23.5,4,Partially cloudy
50,05-02-2017,17.9,60.6,0,26.2,4,Partially cloudy
75,05-03-2017,18.3,62.92,0,25.9,4,Partially cloudy
65,05-04-2017,18.3,64.28,0,25.5,4,Partially cloudy
15,05-05-2017,18.1,60.08,0,26.5,4,Clear
30,05-06-2017,21.9,62.25,0,29.9,4,Partially cloudy
30,05-07-2017,19.3,58.33,0,28.4,4,Partially cloudy
15,05-08-2017,18.9,55.7,0,29,4,Clear
50,05-09-2017,18.7,53.18,0,29.2,4,Partially cloudy
15,05-10-2017,19.6,56.43,0,29.2,4,Clear
65,05-11-2017,17,50.88,50,28.3,4,"Rain, Partially cloudy"
25,05-12-2017,17.1,48.84,0,29,4,Clear
25,05/13/2017,18.4,52.5,0,29.3,4,Clear
50,05/14/2017,20.2,58.29,0,29.3,4,Partially cloudy
65,05/15/2017,17.7,48.43,0,29.8,4,Partially cloudy
90,05/16/2017,18.8,57.84,50,27.9,4,"Rain, Overcast"
30,05/17/2017,17.2,57.67,0,26.2,4,Partially cloudy
30,05/18/2017,17.5,57.42,0,26.6,3,Partially cloudy
25,05/19/2017,16.8,55.08,0,26.5,4,Clear
65,05/20/2017,16.5,51.87,0,27.3,4,Partially cloudy
90,05/21/2017,17.8,58.62,50,26.6,4,"Rain, Overcast"
100,05/22/2017,17,58.2,0,25.9,4,Overcast
55,05/23/2017,17.5,58.64,0,26.3,4,Partially cloudy
35,05/24/2017,17.3,56.88,0,26.5,4,Partially cloudy
25,05/25/2017,18.5,54.15,0,28.8,4,Clear
40,05/26/2017,17.4,49.44,0,29,4,Partially cloudy
15,05/27/2017,19.3,56.1,50,28.9,4,Rain
75,05/28/2017,18.7,54.01,0,28.9,4,Partially cloudy
65,05/29/2017,18.1,52.35,0,28.9,4,Partially cloudy
55,05/30/2017,19,60.5,50,27.5,4,"Rain, Partially cloudy"
90,05/31/2017,18.7,62.45,50,26.5,4,"Rain, Overcast"
40,06-01-2017,17.5,58.61,0,26.3,4,Partially cloudy
15,06-02-2017,18,57.38,0,27.2,4,Clear
0,06-03-2017,17.7,50.01,0,29.3,4,Clear
15,06-04-2017,17.1,46.43,0,30.2,4,Clear
30,06-05-2017,19.2,49.25,0,31.1,4,Partially cloudy
75,06-06-2017,19.4,52.67,0,30.2,4,Partially cloudy
75,06-07-2017,17,59.55,50,25.4,4,"Rain, Partially cloudy"
30,06-08-2017,16.9,60.04,100,25.2,4,"Rain, Partially cloudy"
65,06-09-2017,17.6,59.94,0,26,4,Partially cloudy
40,06-10-2017,16.8,54.8,0,26.6,4,Partially cloudy
25,06-11-2017,16.9,57.4,0,26,4,Clear
30,06-12-2017,18.7,54.11,0,28.9,4,Partially cloudy
50,06/13/2017,20.5,79.2,50,24.9,4,"Rain, Partially cloudy"
30,06/14/2017,18.1,60.87,0,26.3,4,Partially cloudy
80,06/15/2017,18.9,57.07,0,28.2,4,Overcast
90,06/16/2017,16.8,53.49,0,27,4,Overcast
75,06/17/2017,17.4,53.33,0,27.7,4,Partially cloudy
90,06/18/2017,19.4,62.1,50,27.5,4,"Rain, Overcast"
100,06/19/2017,21.4,82.26,100,25,3,"Rain, Overcast"
100,06/20/2017,21.2,74.43,0,26.1,4,Overcast
100,06/21/2017,21.5,89.91,100,23.4,3,"Rain, Overcast"
100,06/22/2017,21.4,83.21,50,24.8,4,"Rain, Overcast"
15,06/23/2017,18.1,61.45,0,26.1,4,Clear
25,06/24/2017,18.1,59.32,0,26.8,4,Clear
65,06/25/2017,19.1,60.53,0,27.7,4,Partially cloudy
100,06/26/2017,21.4,71.88,0,26.9,4,Overcast
100,06/27/2017,22.5,81.85,100,26.3,3,"Rain, Overcast"
100,06/28/2017,25,100,50,25,3,"Rain, Overcast"
100,06/29/2017,23.9,100,100,23.9,2,"Rain, Overcast"
,06/30/2017,,,,,,
65,07-01-2017,19.5,66.42,50,26.4,4,"Rain, Partially cloudy"
100,07-02-2017,26.9,100,100,26.9,2,"Rain, Overcast"
100,07-03-2017,24.9,100,100,24.9,2,"Rain, Overcast"
100,07-04-2017,22.5,81.9,50,26.3,4,"Rain, Overcast"
75,07-05-2017,19.8,66.09,0,26.7,4,Partially cloudy
65,07-06-2017,20.1,69.26,50,26.3,4,"Rain, Partially cloudy"
100,07-07-2017,20.4,68.31,50,26.9,4,"Rain, Overcast"
80,07-08-2017,20.2,70.82,0,25.8,4,Overcast
,07-09-2017,,,,,,
75,07-10-2017,21.9,78.68,50,26.5,4,"Rain, Partially cloudy"
100,07-11-2017,24.7,100,100,24.7,3,"Rain, Overcast"
100,07-12-2017,25.7,100,100,25.7,4,"Rain, Overcast"
90,07/13/2017,22.4,83.26,100,25.8,3,"Rain, Overcast"
90,07/14/2017,19,67.32,0,25.5,4,Overcast
100,07/15/2017,22.3,84.81,100,25.3,4,"Rain, Overcast"
100,07/16/2017,25.1,100,50,25.1,4,"Rain, Overcast"
100,07/17/2017,25,100,50,25,4,"Rain, Overcast"
65,07/18/2017,25,100,100,25,3,"Rain, Partially cloudy"
65,07/19/2017,20,70.52,50,25.9,4,"Rain, Partially cloudy"
100,07/20/2017,19.7,66.66,0,26.4,4,Overcast
100,07/21/2017,21.2,71.36,50,26.9,4,"Rain, Overcast"
90,07/22/2017,20.6,72.26,50,26,4,"Rain, Overcast"
100,07/23/2017,21.3,76.74,50,25.7,4,"Rain, Overcast"
75,07/24/2017,22.3,81.8,50,26,3,"Rain, Partially cloudy"
90,07/25/2017,22.4,88.07,100,24.7,4,"Rain, Overcast"
100,07/26/2017,25.1,100,100,25.1,4,"Rain, Overcast"
100,07/27/2017,21.9,78.63,100,25.9,3,"Rain, Overcast"
100,07/28/2017,22.6,84.43,100,25.8,4,"Rain, Overcast"
100,07/29/2017,22.6,84.24,100,25.8,4,"Rain, Overcast"
100,07/30/2017,25.8,100,100,25.8,3,"Rain, Overcast"
100,07/31/2017,23.3,100,100,23.3,2,"Rain, Overcast"
100,08-01-2017,21.9,84.83,0,24.9,4,Overcast
100,08-02-2017,21.6,83.75,100,24.9,3,"Rain, Overcast"
76.7,08-03-2017,19.6,76.54,66.67,24.1,4,"Rain, Overcast"
100,08-04-2017,23.7,100,100,23.7,4,"Rain, Overcast"
100,08-05-2017,22.4,83.78,100,25.6,4,"Rain, Overcast"
100,08-06-2017,26.4,100,100,26.4,2,"Rain, Overcast"
100,08-07-2017,24.4,100,66.67,24.4,3.3,"Rain, Overcast"
100,08-08-2017,24.9,100,50,24.5,4,"Rain, Overcast"
100,08-09-2017,23.1,100,100,23.1,2,"Rain, Overcast"
100,08-10-2017,24.9,100,100,24.9,3,"Rain, Overcast"
100,08-11-2017,20,73.09,50,25.2,4,"Rain, Overcast"
100,08-12-2017,21.2,80.68,50,24.8,4,"Rain, Overcast"
90,08/13/2017,21.6,77.43,0,25.8,4,Overcast
40,08/14/2017,20.4,71.29,50,26,4,"Rain, Partially cloudy"
65,08/15/2017,18.9,61.99,0,26.8,4,Partially cloudy
100,08/16/2017,20.7,64.94,0,27.9,4,Overcast
90,08/17/2017,20,67.23,50,26.6,4,"Rain, Overcast"
75,08/18/2017,20.2,69.4,100,26.4,4,"Rain, Partially cloudy"
100,08/19/2017,22.8,85.9,100,25.5,3,"Rain, Overcast"
100,08/20/2017,22.5,82.8,0,26,4,Overcast
65,08/21/2017,19.7,65.27,0,26.8,4,Partially cloudy
100,08/22/2017,22.3,82.75,50,25.8,4,"Rain, Overcast"
65,08/23/2017,19.2,65.4,0,26.2,4,Partially cloudy
100,08/24/2017,21.5,79.32,50,25.9,4,"Rain, Overcast"
65,08/25/2017,22.1,82.36,100,25.8,3,"Rain, Partially cloudy"
30,08/26/2017,18.9,65.32,0,25.8,4,Partially cloudy
40,08/27/2017,18.2,64.07,0,25.5,4,Partially cloudy
100,08/28/2017,19,67,0,25.6,4,Overcast
100,08/29/2017,23.5,91.27,50,25.1,4,"Rain, Overcast"
100,08/30/2017,19.9,70.65,0,25.7,4,Overcast
80,08/31/2017,19.9,74.66,0,24.6,4,Overcast
100,09-01-2017,25.4,100,100,25.4,4,"Rain, Overcast"
100,09-02-2017,20,73.84,50,25.1,4,"Rain, Overcast"
40,09-03-2017,20.9,78.45,50,25,8.5,"Rain, Partially cloudy"
65,09-04-2017,19.4,69.63,50,25.4,4,"Rain, Partially cloudy"
50,09-05-2017,19.9,65.53,100,26.9,4,"Rain, Partially cloudy"
65,09-06-2017,19,69.83,50,24.9,4,"Rain, Partially cloudy"
65,09-07-2017,18.7,71.27,50,24.3,4,"Rain, Partially cloudy"
0,09-08-2017,16.7,66.85,100,23.1,4,Rain
100,09-09-2017,26.2,100,100,26.2,4,"Rain, Overcast"
90,09-10-2017,19.7,71.55,0,25.2,4,Overcast
75,09-11-2017,19.3,69.88,0,25.2,4,Partially cloudy
25,09-12-2017,18.3,64.31,0,25.5,4,Clear
25,09/13/2017,18.2,63.53,0,25.6,4,Clear
30,09/14/2017,18.9,72.29,0,24.2,4,Partially cloudy
40,09/15/2017,18.8,66.23,0,25.6,4,Partially cloudy
65,09/16/2017,19.4,70.89,0,25,4,Partially cloudy
30,09/17/2017,18.9,65.18,0,25.9,4,Partially cloudy
15,09/18/2017,17.9,60.47,0,26.2,4,Clear
0,09/19/2017,17.5,57.26,0,26.7,4,Clear
15,09/20/2017,18.3,60.57,0,26.5,4,Clear
15,09/21/2017,18.4,59.69,0,26.9,4,Clear
50,09/22/2017,18.3,61.54,0,26.3,4,Partially cloudy
100,09/23/2017,25,100,100,25,3,"Rain, Overcast"
30,09/24/2017,18.7,68.11,0,25,4,Partially cloudy
75,09/25/2017,18.3,66.38,0,25,4,Partially cloudy
50,09/26/2017,17.5,63.88,0,24.8,4,Partially cloudy
65,09/27/2017,18.1,68.29,50,24.4,4,"Rain, Partially cloudy"
50,09/28/2017,17.9,65.32,0,24.9,4,Partially cloudy
25,09/29/2017,17.7,63.55,0,25.1,4,Clear
50,09/30/2017,18.8,66.88,0,25.4,4,Partially cloudy
50,10-01-2017,19.6,66.48,0,26.4,4,Partially cloudy
15,10-02-2017,18.5,66.23,0,25.3,4,Clear
50,10-03-2017,17.7,63.55,0,25.1,4,Partially cloudy
50,10-04-2017,17.3,61.4,0,25.2,4,Partially cloudy
15,10-05-2017,16.9,59.71,0,25.4,4,Clear
0,10-06-2017,16.6,58.26,0,25.4,4,Clear
15,10-07-2017,16.9,62.48,0,24.5,4,Clear
0,10-08-2017,17.3,64.11,0,24.5,4,Clear
0,10-09-2017,16.1,58.65,0,24.8,4,Clear
0,10-10-2017,16,56.97,0,25.1,4,Clear
15,10-11-2017,17.1,61.58,0,25,4,Clear
0,10-12-2017,15.5,54.83,0,25.3,4,Clear
0,10/13/2017,17.2,55.99,0,26.7,4,Clear
15,10/14/2017,15.2,56.38,0,24.5,4,Clear
15,10/15/2017,15.5,58.49,0,24.2,4,Clear
0,10/16/2017,14.9,57.54,0,23.8,4,Clear
15,10/17/2017,14.5,55.69,0,23.9,4,Clear
0,10/18/2017,15.2,58.6,0,23.8,4,Clear
0,10/19/2017,15,57.31,0,23.9,4,Clear
15,10/20/2017,15.8,57.57,0,24.7,4,Clear
15,10/21/2017,15.2,56.54,0,24.4,4,Clear
25,10/22/2017,14.5,56.52,0,23.7,4,Clear
0,10/23/2017,14.8,59.47,0,23.1,4,Clear
0,10/24/2017,13,56.91,0,21.9,4,Clear
0,10/25/2017,14,56.28,0,23.2,4,Clear
15,10/26/2017,13.7,57.34,0,22.5,4,Clear
25,10/27/2017,12,55.58,0,21.3,4,Clear
0,10/28/2017,10.9,47.27,0,22.7,4,Clear
15,10/29/2017,11.4,54.05,0,21,4,Clear
0,10/30/2017,11.5,58.89,0,19.8,4,Clear
15,10/31/2017,12.6,65.86,0,19.2,4,Clear
25,11-01-2017,10.5,58.86,0,18.8,4,Clear
0,11-02-2017,11,60.53,0,18.8,4,Clear
0,11-03-2017,10.2,54.24,0,19.7,4,Clear
0,11-04-2017,11.9,62.06,0,19.4,4,Clear
0,11-05-2017,11.1,58.81,0,19.4,4,Clear
0,11-06-2017,10.9,56.62,0,19.8,4,Clear
15,11-07-2017,10.4,57.52,0,19,4,Clear
50,11-08-2017,10.7,57.13,0,19.4,4,Partially cloudy
30,11-09-2017,10.4,53.62,0,20.1,4,Partially cloudy
15,11-10-2017,10,59.02,0,18.2,4,Clear
15,11-11-2017,10.5,60.27,0,18.4,4,Clear
15,11-12-2017,10,58.07,0,18.4,4,Clear
0,11/13/2017,9.2,60.46,0,16.9,4,Clear
65,11/14/2017,9.9,60.63,0,17.6,4,Partially cloudy
100,11/15/2017,10.2,65.48,0,16.7,3,Overcast
75,11/16/2017,9.2,65.91,0,15.5,4,Partially cloudy
,11/17/2017,,,,,,
55,11/18/2017,8.9,64.41,0,15.6,4,Partially cloudy
40,11/19/2017,8.3,60.06,0,16,4,Partially cloudy
25,11/20/2017,8.3,62.32,0,15.5,4,Clear
30,11/21/2017,8.4,57.28,0,16.9,4,Partially cloudy
15,11/22/2017,7,57.73,0,15.3,4,Clear
15,11/23/2017,7.4,59.92,0,15.1,4,Clear
0,11/24/2017,7,59.62,0,14.8,4,Clear
0,11/25/2017,8.4,60.27,0,16.1,4,Clear
0,11/26/2017,5.7,60.79,0,13.1,4,Clear
50,11/27/2017,5.8,54.47,0,14.9,4,Partially cloudy
25,11/28/2017,5.8,54.52,0,14.9,4,Clear
0,11/29/2017,5.7,55.35,0,14.5,4,Clear
0,11/30/2017,6.4,58.13,0,14.5,4,Clear
0,12-01-2017,6.2,56.63,0,14.8,4,Clear
0,12-02-2017,6.4,58.64,0,14.5,4,Clear
0,12-03-2017,6.1,62.09,0,13.2,4,Clear
40,12-04-2017,7.3,63.59,0,14.1,4,Partially cloudy
40,12-05-2017,6,60.88,0,13.4,4,Partially cloudy
80,12-06-2017,3.7,52.87,0,13.1,4,Overcast
0,12-07-2017,6.6,62.66,0,13.6,4,Clear
0,12-08-2017,8.3,57.8,0,16.7,4,Clear
0,12-09-2017,8.6,61.48,0,16,4,Clear
40,12-10-2017,6.4,57.52,0,14.7,4,Partially cloudy
100,12-11-2017,10.4,81.99,50,13.8,3,"Rain, Overcast"
100,12-12-2017,10.5,100,100,10.5,3,"Rain, Overcast"
100,12/13/2017,9.4,89.59,100,11.2,3,"Rain, Overcast"
40,12/14/2017,6.5,65.53,0,12.9,4,Partially cloudy
15,12/15/2017,6.1,64.58,0,12.6,4,Clear
0,12/16/2017,5.8,64.11,0,12.4,4,Clear
0,12/17/2017,5.4,59.58,0,13.1,4,Clear
15,12/18/2017,6.1,59.68,0,13.9,4,Clear
0,12/19/2017,8,53.53,0,17.6,4,Clear
25,12/20/2017,9.2,57.61,0,17.7,4,Clear
15,12/21/2017,9.6,64.82,0,16.3,4,Clear
0,12/22/2017,9.4,67.4,0,15.4,4,Clear
40,12/23/2017,9.6,68.02,0,15.5,4,Partially cloudy
30,12/24/2017,8.6,66.84,0,14.8,4,Partially cloudy
0,12/25/2017,8.4,64.25,0,15.1,4,Clear
40,12/26/2017,7.4,65.06,0,13.9,4,Partially cloudy
100,12/27/2017,6.9,65.75,0,13.3,4,Overcast
0,12/28/2017,7,63.2,0,13.9,4,Clear
0,12/29/2017,6.1,65.43,0,12.4,4,Clear
0,12/30/2017,7.5,67.73,0,13.4,4,Clear
25,12/31/2017,7.2,66.37,0,13.4,4,Clear
15,01-01-2018,6.4,63.41,0,13.2,4,Clear
0,01-02-2018,5.9,62.05,0,13,4,Clear
0,01-03-2018,6.4,67.7,0,12.2,4,Clear
50,01-04-2018,5.1,62.7,0,12,4,Partially cloudy
0,01-05-2018,4.4,61.5,0,11.6,4,Clear
0,01-06-2018,5.3,64.4,0,11.8,4,Clear
0,01-07-2018,5.1,62.36,0,12.1,4,Clear
0,01-08-2018,3.6,58.8,0,11.4,4,Clear
0,01-09-2018,3.4,57.48,0,11.5,4,Clear
0,01-10-2018,2.9,61.74,0,9.9,4,Clear
65,01-11-2018,3.8,56.6,0,12.2,4,Partially cloudy
25,01-12-2018,4.3,56.47,0,12.7,4,Clear
0,01/13/2018,5,60.42,0,12.4,4,Clear
0,01/14/2018,5.6,62.42,0,12.6,4,Clear
0,01/15/2018,7.2,61.57,0,14.5,4,Clear
0,01/16/2018,7.8,62.89,0,14.8,4,Clear
25,01/17/2018,5.8,55.93,0,14.5,4,Clear
15,01/18/2018,6.1,58.64,0,14.1,4,Clear
0,01/19/2018,6.8,60.66,0,14.3,4,Clear
0,01/20/2018,4.4,60.08,0,11.9,4,Clear
0,01/21/2018,10.7,72.15,0,15.7,4,Clear
0,01/22/2018,7.2,63.82,0,13.9,4,Clear
50,01/23/2018,7,67.21,50,13,3,"Rain, Partially cloudy"
40,01/24/2018,9,88.33,50,11,4,"Rain, Partially cloudy"
15,01/25/2018,5.7,68.22,0,11.4,4,Clear
0,01/26/2018,5.4,64.31,0,11.9,4,Clear
15,01/27/2018,1.1,48.22,0,12.4,4,Clear
0,01/28/2018,4.8,58.45,0,12.8,4,Clear
15,01/29/2018,5.7,61.83,0,12.9,4,Clear
15,01/30/2018,6.9,63.74,0,13.6,4,Clear
50,01/31/2018,6.8,61.26,0,14.1,4,Partially cloudy
0,02-01-2018,7.3,58.85,0,15.3,4,Clear
0,02-02-2018,4.7,52.79,0,14.2,4,Clear
15,02-03-2018,6.5,58.95,0,14.4,4,Clear
15,02-04-2018,8,63.56,0,14.9,4,Clear
30,02-05-2018,7.4,62.91,0,14.4,4,Partially cloudy
15,02-06-2018,7.3,61.53,0,14.6,4,Clear
100,02-07-2018,6,61.86,0,13.1,4,Overcast
0,02-08-2018,7.5,68.75,0,13.2,4,Clear
25,02-09-2018,6.4,63.65,0,13.1,4,Clear
15,02-10-2018,6.6,65.49,0,13,4,Clear
50,02-11-2018,5.5,59.57,0,13.3,4,Partially cloudy
100,02-12-2018,10.7,100,100,10.7,3,"Rain, Overcast"
15,02/13/2018,9.8,90.41,50,11.4,4,Rain
15,02/14/2018,6.2,60.37,0,13.8,4,Clear
40,02/15/2018,6.9,62.32,0,14,4,Partially cloudy
30,02/16/2018,5.4,58.39,0,13.4,4,Partially cloudy
0,02/17/2018,6.4,61.36,0,13.7,4,Clear
0,02/18/2018,8.1,64,0,14.9,4,Clear
0,02/19/2018,8,62.49,0,15.2,4,Clear
0,02/20/2018,8.7,64.43,0,15.4,4,Clear
15,02/21/2018,9,59.92,0,16.9,4,Clear
40,02/22/2018,7.6,56.55,0,16.3,4,Partially cloudy
40,02/23/2018,9.3,61.64,0,16.7,4,Partially cloudy
90,02/24/2018,13.1,86.05,100,15.6,3,"Rain, Overcast"
50,02/25/2018,10.4,69.44,50,16,4,"Rain, Partially cloudy"
50,02/26/2018,7.9,60.92,0,15.4,4,Partially cloudy
25,02/27/2018,9.3,58.04,0,17.7,4,Clear
30,02/28/2018,9.6,62.78,0,16.8,4,Partially cloudy
27.4,03-01-2018,13.1,57.64,0,21.8,3,Partially cloudy
65,03-02-2018,11.4,69.73,50,17,4,"Rain, Partially cloudy"
100,03-03-2018,9.5,72.87,0,14.4,4,Overcast
30,03-04-2018,9.9,71.16,50,15.3,4,"Rain, Partially cloudy"
15,03-05-2018,8.9,60.61,50,16.5,4,Rain
15,03-06-2018,9.5,58.84,0,17.7,4,Clear
0,03-07-2018,10.1,60.49,0,17.9,4,Clear
0,03-08-2018,10.1,60.48,0,17.9,4,Clear
40,03-09-2018,10.5,61.54,0,18,4,Partially cloudy
0,03-10-2018,10.7,58.93,0,18.9,4,Clear
0,03-11-2018,9.7,59.44,0,17.7,4,Clear
15,03-12-2018,12.1,56.8,0,21,4,Clear
15,03/13/2018,12.6,57.25,0,21.4,4,Clear
25,03/14/2018,12.4,58.31,0,20.9,4,Clear
65,03/15/2018,10.3,59.34,50,18.4,4,"Rain, Partially cloudy"
30,03/16/2018,9.6,62.1,0,16.9,4,Partially cloudy
15,03/17/2018,10.7,59.86,0,18.6,4,Clear
15,03/18/2018,10.5,56.57,0,19.4,4,Clear
15,03/19/2018,11.9,60.34,0,19.8,4,Clear
30,03/20/2018,10.4,60.36,0,18.2,4,Partially cloudy
100,03/21/2018,12.4,72.37,100,17.6,4,"Rain, Overcast"
