Name,Latitude,Cloud Cover,Minimum Temperature,Date time,Precipitation,Dew Point,Relative Humidity,Precipitation Cover,Longitude,Temperature,Maximum Temperature,Visibility,Conditions
"Pathankot, Punjab, India",32.2705,75,9.1,01/17/2017,6,7.3,83.75,50,75.6491,10.1,11.2,4,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,100,8.9,01/18/2017,0,3.9,66.59,0,75.6491,9.9,10.9,4,Overcast
"Pathankot, Punjab, India",32.2705,15,9.4,01/19/2017,0,4.9,66.7,0,75.6491,10.9,12.4,4,Clear
"Pathankot, Punjab, India",32.2705,0,10.2,01/20/2017,0,5.8,64.01,0,75.6491,12.4,14.7,4,Clear
"Pathankot, Punjab, India",32.2705,100,11.7,01/21/2017,0,4.6,60.94,0,75.6491,11.9,12.2,4,Overcast
"Pathankot, Punjab, India",32.2705,40,12.4,01/22/2017,0,5.9,61.06,0,75.6491,13.2,14.1,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,50,11.4,01/23/2017,0,4.5,59.7,0,75.6491,12.1,12.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,100,12.2,01/24/2017,0,6.4,66.84,0,75.6491,12.4,12.7,4,Overcast
"Pathankot, Punjab, India",32.2705,100,10.9,01/25/2017,24,11.1,100,50,75.6491,11.1,11.4,3,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,10.2,01/26/2017,41,10.5,100,100,75.6491,10.5,10.9,3,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,30,11.2,01/27/2017,0,4.9,65.16,0,75.6491,11.2,11.2,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,15,11.4,01/28/2017,0,5.9,66.16,0,75.6491,12.1,12.9,4,Clear
"Pathankot, Punjab, India",32.2705,75,11.2,01/29/2017,0,5.5,65.98,0,75.6491,11.7,12.2,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,65,12.2,01/30/2017,0,5.1,61.09,0,75.6491,12.4,12.7,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,0,13.7,01/31/2017,0,5.9,59.28,0,75.6491,13.7,13.7,4,Clear
"Pathankot, Punjab, India",32.2705,0,12.7,02-01-2017,0,6.4,61.28,0,75.6491,13.8,14.9,4,Clear
"Pathankot, Punjab, India",32.2705,0,13.2,02-02-2017,0,5.6,59.98,0,75.6491,13.2,13.2,4,Clear
"Pathankot, Punjab, India",32.2705,90,13.7,02-03-2017,0,7.3,63.88,0,75.6491,14,14.4,4,Overcast
"Pathankot, Punjab, India",32.2705,100,13.4,02-04-2017,0,7.1,65.26,0,75.6491,13.5,13.7,4,Overcast
"Pathankot, Punjab, India",32.2705,100,12.2,02-05-2017,9,10.5,84.77,50,75.6491,13.3,14.4,3,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,30,12.7,02-06-2017,13,7.2,69.19,100,75.6491,12.7,12.7,4,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,50,12.9,02-07-2017,0,6.5,61.04,0,75.6491,13.9,14.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,100,13.2,02-08-2017,0,7,62.79,0,75.6491,14,14.9,4,Overcast
"Pathankot, Punjab, India",32.2705,30,13.1,02-09-2017,0,7.4,63.82,0,75.6491,14.1,15.2,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,0,12.4,02-10-2017,0,7.2,63.58,0,75.6491,14,15.7,4,Clear
"Pathankot, Punjab, India",32.2705,0,12.9,02-11-2017,0,6.4,58.71,0,75.6491,14.4,15.9,4,Clear
"Pathankot, Punjab, India",32.2705,0,13.2,02-12-2017,0,7.3,63.24,0,75.6491,14.2,15.2,4,Clear
"Pathankot, Punjab, India",32.2705,0,13.4,02/13/2017,0,7.3,62.49,0,75.6491,14.4,15.4,4,Clear
"Pathankot, Punjab, India",32.2705,15,13.4,02/14/2017,0,7.8,63.51,0,75.6491,14.6,15.9,4,Clear
"Pathankot, Punjab, India",32.2705,40,14.2,02/15/2017,0,7.9,62.52,0,75.6491,15,15.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,25,15.7,02/16/2017,0,9.4,61.72,0,75.6491,16.8,17.9,4,Clear
"Pathankot, Punjab, India",32.2705,75,17.2,02/17/2017,0,9.4,59.02,0,75.6491,17.5,17.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,100,17.1,02/18/2017,0,10.7,65.91,0,75.6491,17.1,17.2,4,Overcast
"Pathankot, Punjab, India",32.2705,100,17.7,02/19/2017,0,10.5,60.87,0,75.6491,18.2,18.7,4,Overcast
"Pathankot, Punjab, India",32.2705,100,14.7,02/20/2017,10,9.6,68.2,100,75.6491,15.5,16.4,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,90,14.9,02/21/2017,17,12.6,84.91,100,75.6491,15.4,15.9,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,15,13.7,02/22/2017,9,9.9,66.96,50,75.6491,16.2,18.7,4,Rain
"Pathankot, Punjab, India",32.2705,15,14.1,02/23/2017,0,10.1,64.25,0,75.6491,17,19.9,4,Clear
"Pathankot, Punjab, India",32.2705,15,13.9,02/24/2017,0,8.9,64.92,0,75.6491,15.5,17.2,4,Clear
"Pathankot, Punjab, India",32.2705,0,14.9,02/25/2017,0,7.6,61.64,0,75.6491,14.9,14.9,4,Clear
"Pathankot, Punjab, India",32.2705,15,14.9,02/26/2017,0,9,60.62,0,75.6491,16.6,18.4,4,Clear
"Pathankot, Punjab, India",32.2705,0,15.2,02/27/2017,0,7.7,60.87,0,75.6491,15.2,15.2,4,Clear
"Pathankot, Punjab, India",32.2705,100,14.1,02/28/2017,0,8.7,61.45,0,75.6491,16.2,18.4,4,Overcast
"Pathankot, Punjab, India",32.2705,65,14.2,03-01-2017,0,9.1,63.21,0,75.6491,16.1,18.1,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,,,03-02-2017,0,,,,75.6491,,,,
"Pathankot, Punjab, India",32.2705,30,15.2,03-03-2017,0,9.1,58.91,0,75.6491,17.3,19.4,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,15,15.1,03-04-2017,0,9.3,61.84,0,75.6491,16.6,18.2,4,Clear
"Pathankot, Punjab, India",32.2705,0,15.2,03-05-2017,0,10.5,64.93,0,75.6491,17.2,19.2,4,Clear
"Pathankot, Punjab, India",32.2705,15,15.7,03-06-2017,0,9.9,60.28,0,75.6491,17.7,19.7,4,Clear
"Pathankot, Punjab, India",32.2705,100,14.2,03-07-2017,0,9.3,63.39,0,75.6491,16.3,18.4,4,Overcast
"Pathankot, Punjab, India",32.2705,100,14.2,03-08-2017,6,12.9,87.67,100,75.6491,15,15.9,3,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,12.7,03-09-2017,29,14,100,100,75.6491,14,15.4,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,65,13.1,03-10-2017,5,11,87.83,50,75.6491,13.1,13.2,3,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,100,11.2,03-11-2017,5,11.2,100,50,75.6491,11.2,11.2,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,65,11.2,03-12-2017,0,5.6,68.5,0,75.6491,11.3,11.4,3,Partially cloudy
"Pathankot, Punjab, India",32.2705,30,11.2,03/13/2017,0,6.9,74.83,0,75.6491,11.2,11.2,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,15,12.9,03/14/2017,0,7.8,66.31,0,75.6491,14,15.1,4,Clear
"Pathankot, Punjab, India",32.2705,50,14.1,03/15/2017,0,8.5,66.39,0,75.6491,14.7,15.4,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,100,13.7,03/16/2017,5,11.1,84.51,50,75.6491,13.9,14.2,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,30,13.9,03/17/2017,0,6.4,60.56,0,75.6491,13.9,13.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,40,14.9,03/18/2017,6,8.7,61.71,50,75.6491,16,17.2,4,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,55,15.7,03/19/2017,0,9.4,59.97,0,75.6491,17.3,18.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,15,16.2,03/20/2017,0,9.4,56.46,0,75.6491,18.2,20.2,4,Clear
"Pathankot, Punjab, India",32.2705,53.3,14.9,03/21/2017,0,9.2,59.85,0,75.6491,17,18.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,100,18.4,03/22/2017,0,11.6,61.05,0,75.6491,19.3,20.2,4,Overcast
"Pathankot, Punjab, India",32.2705,90,20.9,03/23/2017,0,12.8,57.17,0,75.6491,21.6,22.4,4,Overcast
"Pathankot, Punjab, India",32.2705,30,21.4,03/24/2017,0,14.7,59.21,0,75.6491,23.1,24.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,,,03/25/2017,0,,,,75.6491,,,,
"Pathankot, Punjab, India",32.2705,,,03/26/2017,0,,,,75.6491,,,,
"Pathankot, Punjab, India",32.2705,15,23.7,03/27/2017,0,13.7,51.25,0,75.6491,24.5,25.4,4,Clear
"Pathankot, Punjab, India",32.2705,30,24.6,03/28/2017,0,18.2,64.99,0,75.6491,25.3,25.8,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,55,24.2,03/29/2017,0,17.3,60.34,0,75.6491,25.5,26.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,30,24.3,03/30/2017,0,17.9,62.94,0,75.6491,25.5,26.7,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,25,24.9,03/31/2017,0,18.1,62.34,0,75.6491,25.9,26.9,4,Clear
"Pathankot, Punjab, India",32.2705,30,24.9,04-01-2017,0,18.1,60.25,0,75.6491,26.5,28.1,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,15,23.7,04-02-2017,0,18.4,64.06,0,75.6491,25.7,27.7,4,Clear
"Pathankot, Punjab, India",32.2705,15,24.6,04-03-2017,0,18.2,60.05,0,75.6491,26.6,28.7,4,Clear
"Pathankot, Punjab, India",32.2705,75,23.7,04-04-2017,0,17.7,67.07,0,75.6491,24.1,24.6,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,75,21.9,04-05-2017,17,17.8,72.37,100,75.6491,23,24.2,3,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,100,22.2,04-06-2017,20,22.6,100,100,75.6491,22.6,23.1,3,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,90,20.7,04-07-2017,4,17.5,70.37,50,75.6491,23.3,25.8,3,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,50,20.9,04-08-2017,0,15.4,70.79,0,75.6491,20.9,20.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,30,21.9,04-09-2017,0,16.1,65.16,0,75.6491,23,24.2,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,15,21.4,04-10-2017,0,15.7,67.07,0,75.6491,22.1,22.9,4,Clear
"Pathankot, Punjab, India",32.2705,15,20.1,04-11-2017,0,15.7,65.74,0,75.6491,22.5,24.9,4,Clear
"Pathankot, Punjab, India",32.2705,0,20.9,04-12-2017,0,14.9,68.55,0,75.6491,20.9,20.9,4,Clear
"Pathankot, Punjab, India",32.2705,15,23.4,04/13/2017,0,17.4,64.07,0,75.6491,24.6,25.8,4,Clear
"Pathankot, Punjab, India",32.2705,15,25.2,04/14/2017,0,19,63.12,0,75.6491,26.7,28.2,4,Clear
"Pathankot, Punjab, India",32.2705,0,25.2,04/15/2017,0,18,58.36,0,75.6491,26.9,28.7,4,Clear
"Pathankot, Punjab, India",32.2705,0,26.4,04/16/2017,0,19.7,60.34,0,75.6491,28.1,29.9,4,Clear
"Pathankot, Punjab, India",32.2705,0,27.4,04/17/2017,0,19.7,58.5,0,75.6491,28.6,29.9,4,Clear
"Pathankot, Punjab, India",32.2705,15,27.7,04/18/2017,0,20.1,59.98,0,75.6491,28.7,29.7,4,Clear
"Pathankot, Punjab, India",32.2705,25,27.9,04/19/2017,0,21.3,62.66,0,75.6491,29.1,30.4,4,Clear
"Pathankot, Punjab, India",32.2705,30,30.4,04/20/2017,0,20.9,56.89,0,75.6491,30.4,30.4,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,65,27.9,04/21/2017,0,21.6,61.66,0,75.6491,29.9,31.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,100,27.7,04/22/2017,2,19.7,61.76,100,75.6491,27.7,27.7,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,75,26.2,04/23/2017,0,19.2,63.12,0,75.6491,26.8,27.4,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,80,24.2,04/24/2017,0,18.2,69.19,0,75.6491,24.2,24.2,4,Overcast
"Pathankot, Punjab, India",32.2705,30,25.2,04/25/2017,0,18.1,58.53,0,75.6491,27,28.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,30,24.9,04/26/2017,0,19.6,64.52,0,75.6491,26.9,28.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,90,24.9,04/27/2017,0,19.2,64.05,0,75.6491,26.5,28.2,4,Overcast
"Pathankot, Punjab, India",32.2705,40,25.7,04/28/2017,0,19,62.9,0,75.6491,26.7,27.7,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,65,24.9,04/29/2017,0,18,61.95,0,75.6491,25.9,26.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,80,23.7,04/30/2017,15,19.4,76.86,100,75.6491,23.7,23.7,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,30,20.7,05-01-2017,0,16.1,63.38,0,75.6491,23.5,26.4,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,50,24.3,05-02-2017,0,17.9,60.6,0,75.6491,26.2,28.1,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,75,24.9,05-03-2017,0,18.3,62.92,0,75.6491,25.9,26.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,65,24.3,05-04-2017,0,18.3,64.28,0,75.6491,25.5,26.7,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,15,24.9,05-05-2017,0,18.1,60.08,0,75.6491,26.5,28.2,4,Clear
"Pathankot, Punjab, India",32.2705,30,29.9,05-06-2017,0,21.9,62.25,0,75.6491,29.9,29.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,30,25.8,05-07-2017,0,19.3,58.33,0,75.6491,28.4,30.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,15,25.1,05-08-2017,0,18.9,55.7,0,75.6491,29,32.9,4,Clear
"Pathankot, Punjab, India",32.2705,50,29.2,05-09-2017,0,18.7,53.18,0,75.6491,29.2,29.2,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,15,28.2,05-10-2017,0,19.6,56.43,0,75.6491,29.2,30.2,4,Clear
"Pathankot, Punjab, India",32.2705,65,25.7,05-11-2017,13,17,50.88,50,75.6491,28.3,30.9,4,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,25,27.4,05-12-2017,0,17.1,48.84,0,75.6491,29,30.7,4,Clear
"Pathankot, Punjab, India",32.2705,25,27.9,05/13/2017,0,18.4,52.5,0,75.6491,29.3,30.7,4,Clear
"Pathankot, Punjab, India",32.2705,50,27.7,05/14/2017,0,20.2,58.29,0,75.6491,29.3,30.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,65,27.4,05/15/2017,0,17.7,48.43,0,75.6491,29.8,32.2,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,90,27.4,05/16/2017,5,18.8,57.84,50,75.6491,27.9,28.4,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,30,26.2,05/17/2017,0,17.2,57.67,0,75.6491,26.2,26.2,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,30,25.8,05/18/2017,0,17.5,57.42,0,75.6491,26.6,27.4,3,Partially cloudy
"Pathankot, Punjab, India",32.2705,25,25.8,05/19/2017,0,16.8,55.08,0,75.6491,26.5,27.2,4,Clear
"Pathankot, Punjab, India",32.2705,65,26.4,05/20/2017,0,16.5,51.87,0,75.6491,27.3,28.2,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,90,25.8,05/21/2017,3,17.8,58.62,50,75.6491,26.6,27.4,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,24.6,05/22/2017,0,17,58.2,0,75.6491,25.9,27.2,4,Overcast
"Pathankot, Punjab, India",32.2705,55,25.7,05/23/2017,0,17.5,58.64,0,75.6491,26.3,26.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,35,25.8,05/24/2017,0,17.3,56.88,0,75.6491,26.5,27.2,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,25,27.4,05/25/2017,0,18.5,54.15,0,75.6491,28.8,30.2,4,Clear
"Pathankot, Punjab, India",32.2705,40,28.4,05/26/2017,0,17.4,49.44,0,75.6491,29,29.7,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,15,27.2,05/27/2017,3,19.3,56.1,50,75.6491,28.9,30.7,4,Rain
"Pathankot, Punjab, India",32.2705,75,27,05/28/2017,0,18.7,54.01,0,75.6491,28.9,30.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,65,27.2,05/29/2017,0,18.1,52.35,0,75.6491,28.9,30.7,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,55,26.7,05/30/2017,16,19,60.5,50,75.6491,27.5,28.4,4,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,90,25.2,05/31/2017,6,18.7,62.45,50,75.6491,26.5,27.9,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,40,25.8,06-01-2017,0,17.5,58.61,0,75.6491,26.3,26.7,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,15,26.2,06-02-2017,0,18,57.38,0,75.6491,27.2,28.2,4,Clear
"Pathankot, Punjab, India",32.2705,0,27.7,06-03-2017,0,17.7,50.01,0,75.6491,29.3,30.9,4,Clear
"Pathankot, Punjab, India",32.2705,15,27.2,06-04-2017,0,17.1,46.43,0,75.6491,30.2,33.2,4,Clear
"Pathankot, Punjab, India",32.2705,30,28.4,06-05-2017,0,19.2,49.25,0,75.6491,31.1,33.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,75,28.7,06-06-2017,0,19.4,52.67,0,75.6491,30.2,31.7,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,75,24.6,06-07-2017,14,17,59.55,50,75.6491,25.4,26.2,4,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,30,25.2,06-08-2017,7,16.9,60.04,100,75.6491,25.2,25.2,4,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,65,25.2,06-09-2017,0,17.6,59.94,0,75.6491,26,26.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,40,26.1,06-10-2017,0,16.8,54.8,0,75.6491,26.6,27.2,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,25,25.2,06-11-2017,0,16.9,57.4,0,75.6491,26,26.9,4,Clear
"Pathankot, Punjab, India",32.2705,30,28.9,06-12-2017,0,18.7,54.11,0,75.6491,28.9,28.9,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,50,23.7,06/13/2017,17,20.5,79.2,50,75.6491,24.9,26.2,4,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,30,26.2,06/14/2017,0,18.1,60.87,0,75.6491,26.3,26.4,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,80,28.2,06/15/2017,0,18.9,57.07,0,75.6491,28.2,28.2,4,Overcast
"Pathankot, Punjab, India",32.2705,90,26.9,06/16/2017,0,16.8,53.49,0,75.6491,27,27.2,4,Overcast
"Pathankot, Punjab, India",32.2705,75,27.4,06/17/2017,0,17.4,53.33,0,75.6491,27.7,28.1,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,90,26.2,06/18/2017,23,19.4,62.1,50,75.6491,27.5,28.9,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,24.2,06/19/2017,68,21.4,82.26,100,75.6491,25,25.8,3,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,25.4,06/20/2017,0,21.2,74.43,0,75.6491,26.1,26.9,4,Overcast
"Pathankot, Punjab, India",32.2705,100,22.7,06/21/2017,104,21.5,89.91,100,75.6491,23.4,24.1,3,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,22.4,06/22/2017,3,21.4,83.21,50,75.6491,24.8,27.2,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,15,24.9,06/23/2017,0,18.1,61.45,0,75.6491,26.1,27.4,4,Clear
"Pathankot, Punjab, India",32.2705,25,25.2,06/24/2017,0,18.1,59.32,0,75.6491,26.8,28.4,4,Clear
"Pathankot, Punjab, India",32.2705,65,25.7,06/25/2017,0,19.1,60.53,0,75.6491,27.7,29.7,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,100,26.9,06/26/2017,0,21.4,71.88,0,75.6491,26.9,26.9,4,Overcast
"Pathankot, Punjab, India",32.2705,100,24.9,06/27/2017,40,22.5,81.85,100,75.6491,26.3,27.7,3,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,23.1,06/28/2017,56,25,100,50,75.6491,25,26.9,3,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,23.1,06/29/2017,55,23.9,100,100,75.6491,23.9,24.6,2,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,,,06/30/2017,0,,,,75.6491,,,,
"Pathankot, Punjab, India",32.2705,65,24.2,07-01-2017,3,19.5,66.42,50,75.6491,26.4,28.7,4,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,100,26.9,07-02-2017,48,26.9,100,100,75.6491,26.9,26.9,2,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,24.9,07-03-2017,4,24.9,100,100,75.6491,24.9,24.9,2,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,24.3,07-04-2017,16,22.5,81.9,50,75.6491,26.3,28.2,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,75,25.4,07-05-2017,0,19.8,66.09,0,75.6491,26.7,28.1,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,65,25.2,07-06-2017,21,20.1,69.26,50,75.6491,26.3,27.4,4,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,100,25.7,07-07-2017,36,20.4,68.31,50,75.6491,26.9,28.2,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,80,25.8,07-08-2017,0,20.2,70.82,0,75.6491,25.8,25.8,4,Overcast
"Pathankot, Punjab, India",32.2705,,,07-09-2017,0,,,,75.6491,,,,
"Pathankot, Punjab, India",32.2705,75,25.2,07-10-2017,89,21.9,78.68,50,75.6491,26.5,27.9,4,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,100,24.2,07-11-2017,21,24.7,100,100,75.6491,24.7,25.2,3,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,24.2,07-12-2017,46,25.7,100,100,75.6491,25.7,27.2,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,90,23.9,07/13/2017,52,22.4,83.26,100,75.6491,25.8,27.7,3,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,90,24.3,07/14/2017,0,19,67.32,0,75.6491,25.5,26.7,4,Overcast
"Pathankot, Punjab, India",32.2705,100,24.2,07/15/2017,99,22.3,84.81,100,75.6491,25.3,26.4,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,24.1,07/16/2017,103,25.1,100,50,75.6491,25.1,26.1,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,23.9,07/17/2017,37,25,100,50,75.6491,25,26.2,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,65,23.7,07/18/2017,141,25,100,100,75.6491,25,26.4,3,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,65,23.7,07/19/2017,20,20,70.52,50,75.6491,25.9,28.1,4,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,100,26.4,07/20/2017,0,19.7,66.66,0,75.6491,26.4,26.4,4,Overcast
"Pathankot, Punjab, India",32.2705,100,25.7,07/21/2017,67,21.2,71.36,50,75.6491,26.9,28.2,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,90,25.2,07/22/2017,16,20.6,72.26,50,75.6491,26,26.9,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,25.2,07/23/2017,9,21.3,76.74,50,75.6491,25.7,26.2,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,75,24.9,07/24/2017,106,22.3,81.8,50,75.6491,26,27.2,3,"Rain, Partially cloudy"
"Pathankot, Punjab, India",32.2705,90,24.2,07/25/2017,55,22.4,88.07,100,75.6491,24.7,25.2,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,24.6,07/26/2017,70,25.1,100,100,75.6491,25.1,25.7,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,24.9,07/27/2017,22,21.9,78.63,100,75.6491,25.9,26.9,3,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,24.6,07/28/2017,50,22.6,84.43,100,75.6491,25.8,26.9,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,24.3,07/29/2017,31,22.6,84.24,100,75.6491,25.8,27.2,4,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,24.9,07/30/2017,39,25.8,100,100,75.6491,25.8,26.7,3,"Rain, Overcast"
